revId,appId,text,revDate,revRating,revOwner
49006,21," best apps ever","May 9, 2019",5,"Qaisara Nabilla"
49007,21," Good job","May 9, 2019",5,"Haris Adam"
49008,21," excellent","May 9, 2019",5,"Storm on The rocks"
49009,21," mmmmm","May 9, 2019",5,"Ranjith Kumar"
49010,21," Got an awesome photo editing from this app . Love it!","May 9, 2019",5,"Janen Arañas"
49011,21," nice","May 9, 2019",5,"Logesh Boopathy"
49012,21," good","May 9, 2019",5,"Mohamad Zulkifli"
49013,21," is good app","May 9, 2019",3,"Sohail Ahmed"
49014,21," awsome app","May 9, 2019",5,"Bharath kumar"
49015,21," I seldom review my app but this one is really cool and easy to use. free version is decent enough for simple day to day editing. 5 stars","May 9, 2019",5,"SK Pek"
49016,21," nice one. easy to use","May 9, 2019",5,"AMIT COMPUTERS"
49017,21," nice","May 9, 2019",5,"Hazeeq Fasli"
49018,21," needs update on things to use and a bigger variety of colors","May 9, 2019",3,"Beth Alvarado"
49019,21," its so good","May 9, 2019",5,"Ahmad Faraz"
49020,21," Easy to use!","May 9, 2019",5,"Nadia Shams"
49021,21," Nice","May 9, 2019",5,"salle des fêtes zaidi"
49022,21," nice app","May 9, 2019",5,"Rohan Paikrao"
49023,21," Awesome so far. If it continues to be awesome i will add the 5th star. Fifth star added because of the amazing number of editing options!","May 9, 2019",5,"Dan Cardinale"
49024,21," wonderful","May 9, 2019",5,"avijit DEY"
49025,21," good","May 9, 2019",5,"c'nemo o"
49026,21," good","May 9, 2019",4,"arkayan bhattacharjee"
49027,21," The best photo editor thanks to developer","May 9, 2019",5,"john mark flores"
49028,21," it's very good","May 9, 2019",5,"Namisha Jain"
49029,21," ","May 9, 2019",5,"Molly Reys"
49030,21," good","May 9, 2019",5,"rahul roy"
49031,21," i hate this app not useful","May 9, 2019",1,"Margret Rose"
49032,21," Easy to use...app I m loving it...","May 9, 2019",5,"Tejaswini Surve"
49033,21," does just what i need","May 9, 2019",5,"ZLM LAWN CARE LLC"
49034,21," ","May 9, 2019",5,"amir net"
49035,21," ok","May 9, 2019",5,"ryan than"
49036,21," Great app","May 9, 2019",5,"Agana Blagojevic"
49037,21," what a dirty app ","May 9, 2019",1,"Sk Salma"
49038,21," afzal","May 9, 2019",5,"Afjal Ali"
49039,21," useful and simple. thanks","May 9, 2019",5,"javid noee"
49040,21," very good","May 8, 2019",5,"Raja Vishkarma"
49041,21," nice","May 8, 2019",5,"Ajith Kumar"
49042,21," Nice","May 8, 2019",5,"R R"
49043,21," nice app","May 8, 2019",4,"Rahul Nikalje"
49044,21," great app ","May 8, 2019",3,"Charlstone Solomons"
49045,21," dank very dank","May 8, 2019",5,"OP MASTA"
49046,21," i like it","May 8, 2019",3,"Jefnath P"
49047,21," Easy and useful","May 8, 2019",5,"Sazar Upadhyay"
49048,21," best","May 8, 2019",5,"Haval Zaxoly"
49049,21," great app through and through","May 8, 2019",5,"Leighanna Gates"
49050,21," awesome app . I just love the features ","May 8, 2019",5,"Goutham Ravindran"
49051,21," Extremely happy with it","May 8, 2019",5,"priyalata nayak"
49052,21," good","May 8, 2019",5,"Sohil Nagar"
49053,21," ","May 8, 2019",5,"Abhy Badmash"
49054,21," its ok but im still trying yo figure thos out but i mean iys a really great app.","May 8, 2019",4,"Zitlaly TheP*rankster"
49055,21," super app great work esay to edit n uses less data","May 8, 2019",5,"Mohd jalaluddin"
49056,21," Great ap.","May 8, 2019",4,"Boo Rads"
49057,21," good","May 8, 2019",5,"Juanita Herrera"
49058,21," awesome","May 8, 2019",5,"Angelina Barson"
49059,21," great editer","May 8, 2019",5,"Alexandria Zarate"
49060,21," amazing","May 8, 2019",5,"lil wheezi e460"
49061,21," i love this app but mostly favorite items are locked which makes the app very expensive... please please please unlocke them so we can use them","May 8, 2019",5,"Azam Jan"
49062,21," good APK","May 8, 2019",5,"Facebook 373"
49063,21," Easy to use. Free. Good.","May 8, 2019",5,"Jessika Ceballos"
49064,21," You can't get all effects but the things you can get for free really make a difference. Good interface.","May 8, 2019",4,Amrit
49065,21," ","May 8, 2019",5,"sele khookhoo"
49066,21," 5","May 8, 2019",5,"Giorgi Gvenetadze"
